category,term,tfidf_score
0,banco,1.0000000000000002
0,ano,0.5719369461190082
0,juro,0.4328140477740361
0,mercado,0.41956148749783506
0,alta,0.36856784842901846
0,ação,0.366910203542693
0,índice,0.3445829295408034
0,queda,0.3271832916191175
0,empresa,0.2915762862513629
0,dia,0.27046047542498197
0,subir,0.259732811972476
0,dizer,0.17550152757807824
0,governo,0.16283474369948747
0,inflação,0.057916104366606325
0,estados,0.035999493760967116
0,unidos,0.035999493760967116
0,semana,0.03497235668961984
0,companhia,0.028302777396074008
0,cair,0.026355484841112053
0,brasil,0.0
-1,ano,1.0
-1,juro,0.977999832124349
-1,subir,0.6355769728551484
-1,índice,0.5319083804901967
-1,fed,0.5233958846932987
-1,inflação,0.39155136161794313
-1,mercado,0.36930362459361654
-1,governo,0.3450850993993442
-1,queda,0.2915295939131781
-1,cair,0.23580768806284969
-1,dia,0.19889399467202162
-1,preço,0.19578269000734516
-1,corte,0.17310555774557734
-1,estados,0.1530900507679449
-1,unidos,0.1530900507679449
-1,banco,0.11033743233846383
-1,consumidor,0.0683755238409407
-1,dólar,0.02629995434315302
-1,depósito,0.0
-1,interfinanceiro,0.0
1,ano,0.9999999999999998
1,juro,0.8069811131294595
1,cair,0.49482180667378284
1,índice,0.3764628579865008
1,dólar,0.3461882867594097
1,mercado,0.3325421777609674
1,governo,0.23436935306725215
1,preço,0.22972498560563737
1,bi,0.15512848716028027
1,dizer,0.1025169663365737
1,depósito,0.10109128839641923
1,interfinanceiro,0.10109128839641923
1,subir,0.08826897658864286
1,dezembro,0.06707704215895949
1,inflação,0.03948365148636723
1,fed,0.030903505202093173
1,janeiro,0.01033481307790085
1,queda,0.010242752898685925
1,banco,0.004970831343631632
1,medida,0.0
